数据库：分省年度数据
指标：普通高等学校在校学生数(万人)
时间：2009-2022
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京市,62.66,61.70,60.89,60.15,59.49,59.29,59.92,60.36,60.46,59.89,59.12,58.79,58.71,58.67
天津市,59.45,58.34,57.22,53.94,52.33,51.47,51.38,51.29,50.58,48.99,47.31,44.97,42.92,40.60
河北省,177.37,170.43,160.48,147.40,134.26,126.89,121.61,117.92,116.43,117.44,116.88,114.93,110.51,106.05
山西省,94.57,89.08,84.20,80.20,76.56,76.30,75.63,74.02,71.32,67.68,63.73,59.45,56.29,54.74
内蒙古自治区,53.45,50.68,48.66,47.20,45.53,44.81,43.67,42.08,40.64,39.92,39.14,38.44,37.14,35.19
辽宁省,118.02,117.84,114.08,104.11,96.32,98.10,99.87,100.57,99.83,96.80,93.41,90.22,88.02,85.25
吉林省,78.87,75.56,72.70,70.01,65.83,64.39,64.23,63.27,61.83,59.95,57.90,56.28,54.44,53.10
黑龙江省,91.20,87.91,82.56,77.82,73.21,73.42,73.59,73.52,73.06,71.79,70.45,71.00,71.91,70.89
上海市,55.48,54.87,54.07,52.66,51.78,51.49,51.47,51.16,50.66,50.48,50.66,51.13,51.57,51.28
江苏省,221.91,211.08,201.47,187.41,180.63,176.79,174.58,171.57,169.86,168.45,167.12,165.94,164.94,165.34
浙江省,125.33,121.03,114.87,107.47,101.94,100.23,99.61,99.11,97.82,95.96,93.23,90.75,88.49,86.65
安徽省,155.35,150.50,136.85,124.12,113.91,114.74,114.50,113.07,108.05,105.21,102.30,99.13,93.90,87.78
福建省,107.61,102.34,94.72,86.12,77.24,75.10,75.64,75.85,74.85,73.05,70.14,67.48,64.78,60.63
江西省,146.44,134.87,124.20,113.50,105.44,104.83,103.90,98.45,91.64,86.18,85.11,82.86,81.65,79.35
山东省,252.71,242.99,229.15,218.39,204.08,201.53,199.59,190.06,179.67,169.85,165.85,164.56,163.14,159.30
河南省,282.33,268.64,249.22,231.97,214.08,200.47,187.48,176.69,167.97,161.83,155.90,150.01,145.67,136.88
湖北省,177.26,169.97,161.69,150.08,143.82,140.09,140.18,141.06,141.97,142.14,138.61,134.03,129.69,124.91
湖南省,168.51,159.61,151.03,140.71,132.68,127.32,122.50,118.06,113.63,110.08,108.22,106.79,104.72,101.68
广东省,267.09,253.98,240.02,205.40,196.32,192.58,189.29,185.64,179.42,170.99,161.68,152.73,142.66,133.41
广西壮族自治区,140.75,132.10,118.42,107.64,94.22,86.67,81.03,75.12,70.19,65.61,62.92,60.01,56.75,52.83
海南省,25.81,24.51,23.01,20.74,18.92,18.55,18.49,18.29,18.06,17.21,16.83,15.67,15.08,14.21
重庆市,106.61,100.27,91.56,83.49,76.28,74.69,73.25,71.66,69.16,65.94,62.36,56.78,52.27,48.42
四川省,205.15,192.08,180.09,166.17,156.47,149.97,144.66,138.79,132.83,127.08,122.37,113.93,108.62,103.59
贵州省,89.47,88.16,84.02,76.57,68.75,62.77,57.39,50.09,46.04,41.90,38.38,34.41,32.33,29.91
云南省,110.03,104.41,96.42,86.40,76.47,70.59,65.66,61.46,57.70,54.86,51.22,48.76,43.90,39.36
西藏自治区,4.25,4.13,3.86,3.62,3.57,3.56,3.50,3.42,3.35,3.36,3.35,3.24,3.11,3.03
陕西省,130.44,128.33,121.00,112.20,105.48,106.94,107.63,109.97,109.96,107.76,102.63,96.48,92.78,89.37
甘肃省,64.81,61.34,58.11,52.49,48.36,46.62,45.72,45.05,45.23,44.30,43.11,40.53,38.15,36.15
青海省,8.09,7.71,7.41,7.32,7.03,6.70,6.19,5.75,5.29,5.07,4.87,4.57,4.50,4.38
宁夏回族自治区,17.25,16.11,14.67,13.52,12.53,12.11,11.71,11.50,11.14,10.45,9.64,8.79,8.02,7.56
新疆维吾尔自治区,61.14,55.56,48.67,42.70,37.49,34.60,31.99,30.47,29.04,27.84,26.87,25.87,25.12,24.16
数据来源：国家统计局
